municipio,departamento,votos,candidato
Entrerrios,Antioquia,2642,Iván Duque
Entrerrios,Antioquia,137,Gustavo Petro
Entrerrios,Antioquia,1436,Sergio Fajardo
Entrerrios,Antioquia,99,Germán Vargas Lleras
Entrerrios,Antioquia,103,Humberto de la Calle
Entrerrios,Antioquia,4,Viviane Morales
Entrerrios,Antioquia,3,Jorque Antonio Trujillo Sarmiento
Envigado,Antioquia,85564,Iván Duque
Envigado,Antioquia,7841,Gustavo Petro
Envigado,Antioquia,44836,Sergio Fajardo
Envigado,Antioquia,3973,Germán Vargas Lleras
Envigado,Antioquia,4407,Humberto de la Calle
Envigado,Antioquia,157,Viviane Morales
Envigado,Antioquia,242,Jorque Antonio Trujillo Sarmiento
Fredonia,Antioquia,4023,Iván Duque
Fredonia,Antioquia,431,Gustavo Petro
Fredonia,Antioquia,1925,Sergio Fajardo
Fredonia,Antioquia,543,Germán Vargas Lleras
Fredonia,Antioquia,169,Humberto de la Calle
Fredonia,Antioquia,21,Viviane Morales
Fredonia,Antioquia,93,Jorque Antonio Trujillo Sarmiento
Frontino,Antioquia,2820,Iván Duque
Frontino,Antioquia,476,Gustavo Petro
Frontino,Antioquia,1157,Sergio Fajardo
Frontino,Antioquia,205,Germán Vargas Lleras
Frontino,Antioquia,365,Humberto de la Calle
Frontino,Antioquia,23,Viviane Morales
Frontino,Antioquia,17,Jorque Antonio Trujillo Sarmiento
Giraldo,Antioquia,1275,Iván Duque
Giraldo,Antioquia,183,Gustavo Petro
Giraldo,Antioquia,544,Sergio Fajardo
Giraldo,Antioquia,307,Germán Vargas Lleras
Giraldo,Antioquia,71,Humberto de la Calle
Giraldo,Antioquia,0,Viviane Morales
Giraldo,Antioquia,9,Jorque Antonio Trujillo Sarmiento
Girardota,Antioquia,10200,Iván Duque
Girardota,Antioquia,1995,Gustavo Petro
Girardota,Antioquia,10775,Sergio Fajardo
Girardota,Antioquia,1464,Germán Vargas Lleras
Girardota,Antioquia,530,Humberto de la Calle
Girardota,Antioquia,45,Viviane Morales
Girardota,Antioquia,64,Jorque Antonio Trujillo Sarmiento
Gomez Plata,Antioquia,2738,Iván Duque
Gomez Plata,Antioquia,137,Gustavo Petro
Gomez Plata,Antioquia,534,Sergio Fajardo
Gomez Plata,Antioquia,199,Germán Vargas Lleras
Gomez Plata,Antioquia,56,Humberto de la Calle
Gomez Plata,Antioquia,9,Viviane Morales
Gomez Plata,Antioquia,19,Jorque Antonio Trujillo Sarmiento
Granada,Antioquia,3833,Iván Duque
Granada,Antioquia,182,Gustavo Petro
Granada,Antioquia,560,Sergio Fajardo
Granada,Antioquia,156,Germán Vargas Lleras
Granada,Antioquia,59,Humberto de la Calle
Granada,Antioquia,14,Viviane Morales
Granada,Antioquia,17,Jorque Antonio Trujillo Sarmiento
Guadalupe,Antioquia,1051,Iván Duque
Guadalupe,Antioquia,150,Gustavo Petro
Guadalupe,Antioquia,330,Sergio Fajardo
